id,rowid,avalue,addressout,addressin,bvalue,bit_position,buttonpath,code,decimal,defaultvalue,delay,delta,description,dimension,frequency,functioncode,grpcategory,idgroup,idhsvariable,idvarmdl,idvariable,imageoff,imageon,inserttime,isactive,iscancelled,ishaccp,islogic,isonchange,lastupdate,length,maximum,measureunit,minimum,priority,readwrite,signed,todisplay,type,varencoding,detail_id,devicemodel
a83328f0-5719-4742-ba2f-fc939c4a8e49,2709,,37,37,,0,,Al_Fan13_L1,false,0,0,0,L1 - Fan 13 alarm,16,30,,48,8,-1,60247,49818,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
a77b340e-c3c3-4083-bf4b-e6f8739d5198,2710,,80,80,,0,,AL_Low_Suct_Press,false,0,0,0,L1 - Low suction pressure alarm,16,30,,45,8,-1,60248,49819,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,1,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
4f53a4ee-8dd7-421b-83e7-46b45f1db55e,2711,,134,134,,0,,Al_Fan10_Or_L2,false,0,0,0,L2 - Fan 10 alarm,16,30,,48,8,-1,60256,49827,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
322ed238-9a74-491d-a032-b8c81ccaf655,2712,,76,76,,0,,Al_Com_High_Press_L1,false,0,0,0,L1 - High condensing pressure alarm from pressostat,16,30,,45,8,-1,60259,49830,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
5b302e07-2b50-4255-8a96-f414d64ed9e4,2713,,176,176,,0,,Al_Com_High_Press_L2,false,0,0,0,L2 - High condensing pressure alarm from pressostat,16,30,,45,8,-1,60263,49834,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
72b1bd9b-e678-4208-b4e9-f8e472ea74a5,2714,,107,107,,12,,Al_Oil_C6_L2,false,0,0,0,L2 - Compressor 6 oil alarm,16,30,,43,8,-1,60266,49837,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
0a055dd9-f9e9-48ca-ab00-d32468aaa96d,2715,,7,7,,12,,Al_Oil_C6_L1,false,0,0,0,L1 - Compressor 6 oil alarm,16,30,,43,8,-1,60267,49838,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
35270d01-1a0c-4313-84fd-d73f02d75de4,2716,,44,44,,0,,Al_pLAN,false,0,0,0,L1 - pLan alarm,16,30,,42,8,-1,60270,49841,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
f61b8786-0190-43a8-a5ad-1202b59e5d97,2717,,54,54,,0,,Al_Prb_Room_Temp,false,0,0,0,L1 - Ambient temperature probe alarm,16,30,,46,8,-1,60272,49843,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,3,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
3ef1a672-8cd9-4caf-9a44-dc90747696db,2718,,107,107,,0,,Al_Generic_C5_L2,false,0,0,0,L2 - Compressor 5 generic alarm,16,30,,43,8,-1,60280,49851,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
